الرقم;الشركة الناشئة;الدولة;المجال;وصف النشاط
2507;VoltSafe;فانكوفر (BC);;تكنولوجيا وصلات كهربائية مغناطيسية آمنة توفر طاقة أكثر كفاءة وتقلّل المخاطر الكهربائية. (CleanEnergy.ca)
2508;VulcanX Energy;فانكوفر (BC);;ابتكارات في تكنولوجيا الهيدروجين منخفض الانبعاث عبر التحلل الحراري للغاز. (CleanEnergy.ca)
2509;AssistIQ;مونتريال (QC);;منصة AI لإدارة مستلزمات المستشفيات في الوقت الحقيقي، تحسين التكلفة والعمليات. (Supercharged Studio)
2510;WareMatch;كندا;;منصة سوق رقمية تربط بين شركات الخدمات اللوجستية ومساحات التخزين الصناعية. (Supercharged Studio)
2511;Nmbr;تورونتو (ON);;حلول API للرواتب والضرائب تلبي تنظيمات قانونية متعددة في كندا. (Fintech.ca)
2512;Quickly;كالجاري (AB);;منصة الدفع المبكر للشركات الصغيرة والمتوسطة لدعم التدفق النقدي. (Fintech.ca)
2513;e‑Zn;أونتاريو (ON);;بطاريات منخفضة التكلفة ذات قدرة تخزين طويلة تعتمد على الزنك. (BestStartup Canada)
2514;Cortex;ألبيرتا (AB);;حلول أتمتة رقمية لقطاع النفط والغاز، تحسين الكفاءة وتقليل أخطاء التشغيل. (BestStartup Canada)
2515;KOHO;تورونتو (ON);;بديل بنكي رقمي بدون رسوم يدعم التوفير والإنفاق الذكي. (BestStartup Canada)
2516;Axya;كيبك (QC);;منصة سحابيّة لأتمتة اختيار الموردين وعروض الأسعار للصناعات المتوسطة والصغيرة. (BestStartup Canada)
2517;Flash Forest;بريتيش كولومبيا;;حلول لزراعة الأشجار باستخدام الطائرات بدون طيار لتحسين إعادة التحريج. (BestStartup Canada)
2518;Nbry Solutions;تورونتو (ON);;تقنيات إدارة البيانات والتحليلات للشركات الكبيرة.
2519;Lynx Global;فانكوفر (BC);;منصة AI لتحليل مخاطر التأمين ودعم القرار الذكي في القطاع المالي.
2520;Field ID;كندا;;منصة لتتبع الأصول والمعدات عبر GPS وIoT للمؤسسات الميدانية.
2521;EchoBase Labs;مونتريال (QC);;حلول “البصمة البيئية” لتحسين الجودة وتقليل الانبعاثات في الإنتاج.
2522;Quantum Lumen;تورونتو (ON);;شبكات اتصالات تعتمد على التوقيت الكمي لتحسين أمان وموثوقية الاتصالات.
2523;DataShield AI;تورونتو (ON);;خدمات أمان بيانات مدعومة بـAI للكشف والتصدي للتهديدات الرقمية.
2524;GreenGrid Energy;كندا;;حلول طاقة متجددة ذكية وتخزين طاقة مصغّرة للمجتمعات الذكية.
2525;BioNano Tech Labs;مونتريال (QC);;أبحاث وتكنولوجيا نانوية للتطبيقات الطبية والصناعية.
2526;HealthTech Bridge;تورنتو (ON);;منصّة ربط بين مقدمي الرعاية الصحية والمرضى بتكامل البيانات الصحية.
2527;SmartAgri AI CN;كندا;;أنظمة ذكية لإدارة الزراعة الدقيقة وتحليل التربة والمناخ باستخدام AI.
2528;LogiFlow Analytics;كندا;;أدوات تحليل تدفق الخدمات اللوجستية لتقليل التكاليف وتسريع التسليم.
2529;NanoMed Diagnostics;فانكوفر (BC);;تطوير حساسات نانوية لتحسين دقة التشخيص الطبي.
2530;EcoWater Systems;كندا;;حلول معالجة المياه الذكية وتقليل هدر الموارد للمجتمعات الصناعية.
2531;ReZero Materials;كندا;;مواد بناء مستدامة من نفايات معاد تدويرها.
2532;FleetAI Logistics;تورونتو (ON);;تحسين إدارة أساطيل النقل للشاحنات باستخدام الذكاء الاصطناعي.
2533;CyberSafe Identity;كندا;;منصة هوية رقمية آمنة للتحقق والمصادقة عبر الإنترنت.
2534;EduAI Tutor;كندا;;منصّة تعليمية مدعومة بالذكاء الاصطناعي لدروس مصمّمة فرديًا للطلاب.
2535;UrbanSense Smart City;كندا;;أجهزة وحلول IoT لإدارة البنية التحتية الحضرية بكفاءة.
2536;CleanSweep Robotics;كندا;;روبوتات صناعية لتنظيف وإدارة المخلفات في البيئات التجارية.
2537;SafeMed Supply;كندا;;منصّة إدارة سلسلة توريدات الأدوات الطبية للمستشفيات.
2538;CarbonTracker AI;كندا;;تحليل بصريات الكربون لمؤسسات لتقليل الانبعاثات وتحسين الاستدامة.
2539;BioAgri Solutions;كندا;;تطبيقات بيولوجية ذكية لتحسين إنتاجية المحاصيل المستدامة.
2540;AI Legal Assist;كندا;;أداة AI لتحليل العقود القانونية وتقديم توصيات ذكية للمحامين.
2541;VoxHealth Insights;كندا;;منصة تحليلات بيانات الصحة لتوقع الاحتياجات العلاجية للسكان.
2542;TymeBank;كيب تاون ;;بنك رقمي كامل الخدمات، يوفر خدمات مصرفية عبر الهاتف والبنوك الرقمية، ويعمل على توسيع الوجود الدولي. 
2543;Yoco;كيب تاون;;منصة مدفوعات PoS لحلول الدفع للأعمال الصغيرة والمتوسطة في إفريقيا والشرق الأوسط. 
2544;Stitch Money;كيب تاون;;بوابة مدفوعات API تقدم حلول دفع متعددة للبنوك والتجارة الإلكترونية. 
2545;Sweepsouth;كيب تاون;;سوق خدمات منزلية on‑demand (تنظيف، صيانة، رعاية). 
2546;StructureIt;جوهانسبرغ;;شركة خدمات تقنية متقدمة لتطوير البرمجيات وحلول الأعمال الرقمية. 
2547;Neutrinos;جوهانسبرغ;;شركة تطوير منصات SaaS وحلول تطبيقات للمؤسسات. 
2548;Borwood Group;لا لوسيا;;حلول اتصالات وتقنية وشبكات للمؤسسات. 
2549;Performanta Group;جوهانسبرغ;;حلول أمن المعلومات و Cybersecurity للمؤسسات. 
2550;Cell C;كيب تاون;;مزود خدمات الهاتف والمحمول في جنوب إفريقيا، يشمل تطبيقات وخدمات رقمية. 
2551;Showmax;كيب تاون;;منصة بث فيديو ترفيهي رقمي مشابهة لـ Netflix. 
2552;Snapplify;كيب تاون;;منصة تعليم إلكتروني وe‑learning للمؤسسات التعليمية. 
2553;Naked Insurance;جوهانسبرغ;;InsurTech رقمي يقدم عروض تأمين فورية باستخدام AI. 
2554;Acalytica;كيب تاون;;منصة No‑Code لدعم التجارة الرقمية والإلكترونية للمنشآت الصغيرة. 
2555;iBikeYakho;جوهانسبرغ;;منصة SaaS لتمويل وصيانة وتتبع سائقين التوصيل ذوي الدراجات النارية. 
2556;Plentify;كيب تاون;;حل IoT + SaaS يساهم في تحسين استهلاك الطاقة المنزلية والصناعية. 
2557;PayCurve;كيب تاون;;منصة إدماج مالي تقدم إمكانية الوصول إلى راتبك قبل تاريخ الدفع. 
2558;GoMetro;كيب تاون;;منصة SaaS لإدارة النقل، تخطيط المسارات وتحسين حركة التنقل. 
2559;Voyce AI;كيب تاون;;منصة AI لمراقبة المكالمات وتحسين تجربة العملاء والخدمات المالية. 
2560;Zappyhire;كيب تاون;;حلول HR وعمليات الموارد البشرية عبر SaaS. 
2561;WooCommerce (SA roots);كيب تاون;;منصة إلكترونية للتجارة عبر الإنترنت مدعومة من WooThemes. 
2562;EasyEquities;كيب تاون;;منصة دينامية للاستثمار والتداول في الأسهم. 
2563;Carry1st;كيب تاون;;منصة ألعاب ونشر الفيديوهات في إفريقيا، تجارب رقمية ترفيهية. 
2564;LifeQ;كيب تاون;;نظام بيولوجي صحّي يستخدم بيانات الصحة لتحليل الأداء والحيوية. 
2565;BATTALION Technologies;كيب تاون;;روبوتات ومركبات موجهة للخدمات اللوجستية الصناعية. 
2566;Agrigistics;كيب تاون;;منصة تقنية لإدارة المزارع وتوقيت العمالة والرواتب. 
2567;Itakane Health;كيب تاون;;منصّة صحية لتقديم خدمات وقائية ورعاية رقمية. 
2568;Green Riders;كيب تاون;;خدمة توصيل كهربائية last‑mile باستخدام دراجات كهربائية. 
2569;The Compost Kitchen;كيب تاون;;خدمات تدوير نفايات المطبخ وتحويلها لأسمدة. 
2570;DataProphet;كيب تاون;;حلول ذكاء صناعي للتصنيع وتحسين العمليات الذكية. 
2571;Khula;كيب تاون;;منصة SaaS لتمويل سلسلة القيمة للمنتجات الزراعية. 
2572;Quro Medical;كيب تاون;;تقنيات مبتكرة في قطاع الصحة والتشخيص الطبي. 
2573;Mzansi Meat;كيب تاون;;منصة تجارة رقمية للصناعات الغذائية. 
2574;Jambo Technology;كيب تاون;;حلول مدفوعات وتقنية للأعمال والمستهلكين. 
2575;WizzPass;كيب تاون;;منصة وصول آمن وإدارة الهوية الرقمية. 
2576;Jumo;كيب تاون;;منصة تقنية مالية بنكية لتمكين البنوك والخدمات المالية. 
2577;FlexClub;كيب تاون;;خدمات تأجير سيارات مرنة ونظام عضوية للمركبات. 
